candidate_name	family	module_variant	region_mode	top_window_k	beta_region	beta_repeat	beta_hairpin	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
rbp_trace_v2_score_paired_architecture__k_3__beta_0.0	paired_architecture	paired_architecture		3			0.0	500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_paired_architecture__k_3__beta_0.0	paired_architecture	paired_architecture		3			0.0	1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_region__explicit__k_3__beta_0.1	region		explicit	3	0.1			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__explicit__k_3__beta_0.1	region		explicit	3	0.1			100	55382	283	7	0.07	0.024734982332155476	0.5109963526055397	13.698727915194347	9.012753656072744e-07
rbp_trace_v2_score_region__explicit__k_3__beta_0.1	region		explicit	3	0.1			200	55382	283	14	0.07	0.04946996466431095	1.0219927052110793	13.698727915194347	3.030117683160773e-12
rbp_trace_v2_score_region__explicit__k_3__beta_0.1	region		explicit	3	0.1			500	55382	283	31	0.062	0.10954063604240283	2.5549817630276985	12.133159010600707	4.586586985404742e-24
rbp_trace_v2_score_region__explicit__k_3__beta_0.1	region		explicit	3	0.1			1000	55382	283	51	0.051	0.18021201413427562	5.109963526055397	9.980501766784453	3.883512567589718e-35
rbp_trace_v2_score_region__inferred__k_3__beta_0.1	region		inferred	3	0.1			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__inferred__k_3__beta_0.1	region		inferred	3	0.1			100	55382	283	7	0.07	0.024734982332155476	0.5109963526055397	13.698727915194347	9.012753656072744e-07
rbp_trace_v2_score_region__inferred__k_3__beta_0.1	region		inferred	3	0.1			200	55382	283	15	0.075	0.053003533568904596	1.0219927052110793	14.677208480565373	1.8322462822219758e-13
rbp_trace_v2_score_region__inferred__k_3__beta_0.1	region		inferred	3	0.1			500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_region__inferred__k_3__beta_0.1	region		inferred	3	0.1			1000	55382	283	50	0.05	0.17667844522968199	5.109963526055397	9.784805653710247	4.855502886949398e-34
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.1	self_complementarity	self_complementarity		3		0.1		50	55382	283	1	0.02	0.0035335689045936395	0.25549817630276983	3.913922261484099	0.22606460519294055
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.1	self_complementarity	self_complementarity		3		0.1		100	55382	283	3	0.03	0.01060070671378092	0.5109963526055397	5.8708833922261485	0.014832646997377635
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.1	self_complementarity	self_complementarity		3		0.1		200	55382	283	11	0.055	0.038869257950530034	1.0219927052110793	10.763286219081273	8.438813864819562e-09
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.1	self_complementarity	self_complementarity		3		0.1		500	55382	283	32	0.064	0.11307420494699646	2.5549817630276985	12.524551236749117	3.092733955300095e-25
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.1	self_complementarity	self_complementarity		3		0.1		1000	55382	283	49	0.049	0.17314487632508835	5.109963526055397	9.589109540636043	5.920490424206403e-33
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.1	self_complementarity	inverted_repeat		3		0.1		50	55382	283	2	0.04	0.007067137809187279	0.25549817630276983	7.827844522968198	0.027132982367874585
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.1	self_complementarity	inverted_repeat		3		0.1		100	55382	283	5	0.05	0.0176678445229682	0.5109963526055397	9.784805653710249	0.00017036480270641945
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.1	self_complementarity	inverted_repeat		3		0.1		200	55382	283	12	0.06	0.04240282685512368	1.0219927052110793	11.741766784452297	6.537468874055962e-10
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.1	self_complementarity	inverted_repeat		3		0.1		500	55382	283	37	0.074	0.13074204946996468	2.5549817630276985	14.481512367491167	2.5270492120286655e-31
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.1	self_complementarity	inverted_repeat		3		0.1		1000	55382	283	57	0.057	0.20141342756183744	5.109963526055397	11.154678445229681	6.121945765508785e-42
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	minus_simple_repeat_penalty		3		0.1		50	55382	283	0	0.0	0.0	0.25549817630276983	0.0	1.0
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	minus_simple_repeat_penalty		3		0.1		100	55382	283	1	0.01	0.0035335689045936395	0.5109963526055397	1.9569611307420496	0.4011631126092233
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	minus_simple_repeat_penalty		3		0.1		200	55382	283	3	0.015	0.01060070671378092	1.0219927052110793	2.9354416961130743	0.0835850633759181
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	minus_simple_repeat_penalty		3		0.1		500	55382	283	6	0.012	0.02120141342756184	2.5549817630276985	2.3483533568904593	0.04457633938148278
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	minus_simple_repeat_penalty		3		0.1		1000	55382	283	13	0.013	0.045936395759717315	5.109963526055397	2.5440494699646643	0.002120603197649263
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.1		50	55382	283	3	0.06	0.01060070671378092	0.25549817630276983	11.741766784452297	0.0021667041513411616
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.1	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.1		100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
